Date,Title,URL,Has Alignment,Turkey,North Macedonia,Montenegro,Serbia,Albania,Ukraine,Moldova,Bosnia and Herzegovina,Georgia,Iceland,Liechtenstein,Norway,Armenia,Azerbaijan,Andorra,Monaco,San Marino,UK
2025-10-25,EU Statement – UN General Assembly 1st Committee: Other Weapons of Mass Destruction,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-1st-committee-other-weapons-mass-destruction-2_en,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False
2025-10-25,EU Statement – UN General Assembly 1st Committee: Outer Space,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-1st-committee-outer-space-1_en,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False
2025-10-27,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on the Right to Development,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-right-development-1_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-27,EU Statement – UN General Assembly 1st Committee: Other Disarmament Measures and International Security,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-1st-committee-other-disarmament-measures-and-international_en,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False
2025-10-24,EU Statement – UN General Assembly 4th Committee: Assistance in Mine Action,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-4th-committee-assistance-mine-action-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-24,EU Statement – UN General Assembly 6th Committee: UN Programme of Assistance in International Law,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-6th-committee-un-programme-assistance-international-law-0_en,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False
2025-10-27,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on human rights in Belarus,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-human-rights-belarus-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-27,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on human rights in the Russian Federation,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-human-rights-russian-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-27,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue with the Commission of Inquiry on Ukraine,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-commission-inquiry-ukraine-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-23,EU Statement -- UN General Assembly 6th Committee: Agenda Item 79,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-un-general-assembly-6th-committee-agenda-item-79_en,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False
